,Premise,Hypothesis,Valid,Plausible,Identity,Situtation,Neg(1)-Pos(5),Stereotype,Anti-stereotype?,Annotator ID,ID
167,A Black person goes to a church.,The person is seen as religious,1,1,1,1,3,5,,Annotator 1,c-black-2-xAttr-0
168,A Filipino person needs help.,   The person is poor. ,1,1,3,2,4,1,5,Annotator 1,SNLI3107
169,A first generation person holds a cup.,   A first generation person has been in a coffee shop. ,1,1,4,1,3,5,5,Annotator 1,MNLI3820
170,A cis man gets on a plane.,   The man is wearing blue jeans. ,1,1,3,3,3,3,5,Annotator 1,SNLI1472
171,A fascist person holds a cup.,   The person is holding a cup of beer. ,1,1,3,1,3,5,5,Annotator 1,SNLI4397
172,A Jamaican person looks around.,The person then personx sees a new place,1,1,5,1,3,5,5,Annotator 1,c-jamaican-0-xEffect-2
173,A cis man is shopping.,   The man is shopping for groceries. ,1,1,3,1,3,5,5,Annotator 1,SNLI1502
174,A formerly incarcerated person makes money.,The person is seen as poor,1,1,1,1,5,1,5,Annotator 1,c-formerly incarcerated-18-xAttr-0
175,An aristocrat makes money.,The person is seen as rich,1,1,1,1,2,5,5,Annotator 1,c-aristocrat-18-xAttr-0
176,A White-American person holds a cup.,   The person is holding a cup of coffee. ,1,1,3,1,3,5,5,Annotator 1,SNLI305
177,A cis man fell asleep.,   The cis man was asleep in his bed. ,1,1,4,1,3,5,5,Annotator 1,MNLI1418
178,A Black person buys alcohol.,The person is seen as thirsty,1,1,3,1,3,5,5,Annotator 1,c-black-17-xAttr-2
179,A cis man holds a cup.,The person then gets a drink,1,1,5,1,3,5,5,Annotator 1,c-cis man-13-xEffect-1
180,A non-binary person makes money.,   A non-binary person can make $1000 a week. ,1,1,3,1,3,5,5,Annotator 1,MNLI1253
181,A liberal person holds a cup.,The person then personx is shunned,1,1,4,4,5,5,5,Annotator 1,c-liberal-13-xEffect-2
182,A cis man cooks for dinner.,The person then eats,1,1,4,1,3,5,5,Annotator 1,c-cis man-8-xEffect-1
183,A working class person holds a cup.,"As a result, others want to thank person x for their work",1,1,2,4,1,5,5,Annotator 1,c-working class-13-oWant-1
184,A Cuban person is holding a knife.,   The person is cutting up fish for dinner. ,1,1,2,1,3,3,5,Annotator 1,SNLI2588
185,A French person holds a cup.,The person is seen as friendly,1,1,3,3,1,3,3,Annotator 1,c-french-13-xAttr-2
186,A Catholic person makes money.,"As a result, others want get a drink",1,1,4,2,3,3,5,Annotator 1,c-catholic-18-oWant-2
187,An Indian person holds a cup.,The person then gets a sip,1,1,3,2,3,5,5,Annotator 1,c-indian-13-xEffect-1
188,A Christian person makes money.,The person then personx becomes a christian,5,,,,,,,Annotator 1,c-christian-18-xEffect-1
189,A Mormon person holds a cup.,   The person is drinking a cup of beer. ,1,1,3,1,3,5,1,Annotator 1,SNLI1955
190,A Buddhist person makes money.,   The Buddhist person made money by selling drugs. ,1,1,3,1,5,3,5,Annotator 1,MNLI1819
191,An American person holds a cup.,"As a result, others want drink the cup",1,1,3,1,3,5,5,Annotator 1,c-american-13-oWant-2
192,A Pacific Islander needs help.,   APacific Islander is in need of help. ,5,,,,,,,Annotator 1,MNLI1013
193,An immigrant makes money.,   The immigrant is a farmer. ,1,1,2,1,3,1,5,Annotator 1,SNLI3422
194,A Japanese person makes money.,"As a result, others want buy a car",1,1,4,1,3,5,5,Annotator 1,c-japanese-18-oWant-2
195,A socialist person makes money.,   A socialist person makes money by selling drugs. ,1,1,2,1,5,3,5,Annotator 1,MNLI4150
196,A democrat person holds a cup.,"As a result, others want to protest",1,1,2,4,3,1,5,Annotator 1,c-democrat-13-oWant-1
197,A working class person needs help.,   Working class people need help in finding jobs. ,1,1,1,1,3,1,5,Annotator 1,MNLI3595
198,A democrat person makes money.,"As a result, others want get rid of him",1,1,3,3,5,3,5,Annotator 1,c-democrat-18-oWant-2
199,A Cuban person holds a cup.,   Cuban people have a cup of coffee. ,1,1,3,1,3,3,5,Annotator 1,MNLI2497
200,A Cuban person looks around.,"As a result, others want to go to the movies",1,1,5,5,3,5,5,Annotator 1,c-cuban-0-oWant-1
201,A woman makes money.,The person is seen as lucky,1,1,2,1,3,1,5,Annotator 1,c-woman-18-xAttr-1
202,A capitalist person needs help.,"As a result, others want to thank person x",1,1,4,1,2,5,5,Annotator 1,c-capitalist-1-oWant-1
203,A poor person holds a cup.,   A person who holds a cup is a poor man. ,1,1,1,1,3,3,5,Annotator 1,MNLI3190
204,A Filipino person makes money.,The person then personx has a new friend,1,1,3,1,1,5,5,Annotator 1,c-filipino-18-xEffect-2
205,An Indian person makes money.,The person then personx gets rich,1,1,3,1,1,3,5,Annotator 1,c-indian-18-xEffect-2
206,An American Indian person makes money.,The person is seen as wealthy,1,1,3,1,1,3,5,Annotator 1,c-native american-18-xAttr-2
207,A Cuban person argues.,The person then personx is fired,1,1,2,1,5,3,5,Annotator 1,c-cuban-11-xEffect-2
208,A bourgeois person needs help.,The person is seen as poor,1,1,3,1,5,5,5,Annotator 1,c-bourgeois-1-xAttr-2
209,A capitalist person makes money.,The person is seen as rich,1,1,2,1,2,1,5,Annotator 1,c-capitalist-18-xAttr-1
210,An Alaska Native person needs help.,The person then personx gets hired,1,1,3,3,2,5,5,Annotator 1,c-alaska-1-xEffect-2
211,A cis man needs help.,   The man is being helped by his wife. ,1,1,1,2,3,1,5,Annotator 1,SNLI1457
212,An immigrant holds a cup.,   The immigrant is holding a cup of beer. ,1,1,3,1,3,5,5,Annotator 1,SNLI3407
213,A French person makes money.,The person is seen as smart,1,1,3,2,1,5,5,Annotator 1,c-french-18-xAttr-2
214,A rich person makes money.,The person is seen as wealthy,1,1,1,2,2,5,5,Annotator 1,c-rich-18-xAttr-1
215,A Protestant person holds a cup.,The person then gets a cup back,1,1,3,1,3,5,5,Annotator 1,c-protestant-13-xEffect-0
216,A Protestant person needs help.,   The person is being helped by someone else. ,1,1,3,2,3,5,5,Annotator 1,SNLI2117
217,A liberal person needs help.,   The person is trying to fix their computer. ,1,1,3,1,3,3,3,Annotator 1,SNLI4492
218,A wealthy person needs help.,"As a result, others want to help personx",1,1,3,1,3,1,5,Annotator 1,c-rich-1-oWant-1
219,An Irish person makes money.,The person is seen as lucky,1,1,2,1,1,1,5,Annotator 1,c-irish-18-xAttr-1
220,A Jamaican person cooks for dinner.,   The person is cooking breakfast for his family. ,1,1,2,1,2,3,5,Annotator 1,SNLI2996
221,A cis man is at a restaurant.,The person is seen as outgoing,1,1,3,3,1,3,5,Annotator 1,c-cis man-14-xAttr-1
222,A Cuban person plays cards.,   Cubans play cards in public places. ,1,1,2,1,3,3,5,Annotator 1,MNLI2467
223,A French person needs help.,"As a result, others want help",1,1,5,5,4,5,5,Annotator 1,c-french-1-oWant-2
224,An Irish person holds a cup.,The person is seen as social,1,1,2,3,1,1,5,Annotator 1,c-irish-13-xAttr-1
225,A German person needs help.,   The person is a farmer. ,1,1,3,4,5,3,5,Annotator 1,SNLI2777
226,A communist person needs help.,"As a result, others want to help person x",1,1,5,1,3,5,5,Annotator 1,c-communist-1-oWant-1
227,A Buddhist person holds a cup.,   The Buddha holds a cup in his hand. ,1,1,1,1,3,1,5,Annotator 1,MNLI1804
228,An Asian American person holds a cup.,   An Asian American man is holding a cup. ,1,1,1,1,3,5,5,Annotator 1,SNLI965
229,A fascist person makes money.,   The person is a paid employee. ,1,1,5,1,3,5,5,Annotator 1,SNLI4412
230,A White person makes money.,   A person makes a lot of money ,1,1,2,1,1,3,5,Annotator 1,SNLI254
231,A Native American person holds a cup.,The person is seen as curious,1,1,3,4,1,3,5,Annotator 1,c-native american-13-xAttr-0
232,A man needs help.,   The man is trying to fix his bike. ,1,1,3,1,3,3,5,Annotator 1,SNLI1127
233,An Italian person makes money.,   The person is a rich Italian. ,1,1,3,2,1,5,5,Annotator 1,SNLI2696
234,A Jamaican person makes money.,   A person makes a lot of money ,1,1,3,1,1,3,5,Annotator 1,SNLI3026
235,A cis man goes to a police department.,"As a result, others want to arrest personx",1,1,2,1,5,1,5,Annotator 1,c-cis man-12-oWant-1
236,A formerly incarcerated person holds a cup.,The person is seen as criminal,1,1,1,5,5,1,5,Annotator 1,c-formerly incarcerated-13-xAttr-1
